lname,fname,party,state,url,sen
Alexander, Lamar,R,TN,http://www.alexander.senate.gov/,alexander
Ayotte, Kelly,R,NH,http://www.ayotte.senate.gov/,ayotte
Baldwin, Tammy,D,WI,http://www.baldwin.senate.gov/,baldwin
Barrasso, John,R,WY,http://www.barrasso.senate.gov/,barrasso
Bennet, Michael F.,D,CO,http://www.bennet.senate.gov/,bennet
Blumenthal, Richard,D,CT,http://www.blumenthal.senate.gov/,blumenthal
Blunt, Roy,R,MO,http://www.blunt.senate.gov/,blunt
Booker, Cory A.,D,NJ,http://www.booker.senate.gov/,booker
Boozman, John,R,AR,http://www.boozman.senate.gov/,boozman
Boxer, Barbara,D,CA,http://www.boxer.senate.gov/,boxer
Brown, Sherrod,D,OH,http://www.brown.senate.gov/,brown
Burr, Richard,R,NC,http://www.burr.senate.gov/,burr
Cantwell, Maria,D,WA,http://www.cantwell.senate.gov/,cantwell
Capito, Shelley Moore,R,WV,http://www.capito.senate.gov/,capito
Cardin, Benjamin L.,D,MD,http://www.cardin.senate.gov/,cardin
Carper, Thomas R.,D,DE,http://www.carper.senate.gov/,carper
Casey, Robert P.,D,PA,http://www.casey.senate.gov/,casey
Cassidy, Bill,R,LA,http://www.cassidy.senate.gov/,cassidy
Coats, Daniel,R,IN,http://www.coats.senate.gov/,coats
Cochran, Thad,R,MS,http://www.cochran.senate.gov/,cochran
Collins, Susan M.,R,ME,http://www.collins.senate.gov/,collins
Coons, Christopher A.,D,DE,http://www.coons.senate.gov/,coons
Corker, Bob,R,TN,http://www.corker.senate.gov/,corker
Cornyn, John,R,TX,http://www.cornyn.senate.gov/,cornyn
Cotton, Tom,R,AR,http://www.cotton.senate.gov/,cotton
Crapo, Mike,R,ID,http://www.crapo.senate.gov/,crapo
Cruz, Ted,R,TX,http://www.cruz.senate.gov/,cruz
Daines, Steve,R,MT,http://www.daines.senate.gov/,daines
Donnelly, Joe,D,IN,http://www.donnelly.senate.gov/,donnelly
Durbin, Richard J.,D,IL,http://www.durbin.senate.gov/,durbin
Enzi, Michael B.,R,WY,http://www.enzi.senate.gov/,enzi
Ernst, Joni,R,IA,http://www.ernst.senate.gov/,ernst
Feinstein, Dianne,D,CA,http://www.feinstein.senate.gov/,feinstein
Fischer, Deb,R,NE,http://www.fischer.senate.gov/,fischer
Flake, Jeff,R,AZ,http://www.flake.senate.gov/,flake
Franken, Al,D,MN,http://www.franken.senate.gov/,franken
Gardner, Cory,R,CO,http://www.gardner.senate.gov/,gardner
Gillibrand, Kirsten E.,D,NY,http://www.gillibrand.senate.gov/,gillibrand
Graham, Lindsey,R,SC,http://www.lgraham.senate.gov/,lgraham
Grassley, Chuck,R,IA,http://www.grassley.senate.gov/,grassley
Hatch, Orrin G.,R,UT,http://www.hatch.senate.gov/,hatch
Heinrich, Martin,D,NM,http://www.heinrich.senate.gov/,heinrich
Heitkamp, Heidi,D,ND,http://www.heitkamp.senate.gov/,heitkamp
Heller, Dean,R,NV,http://www.heller.senate.gov/,heller
Hirono, Mazie K.,D,HI,http://www.hirono.senate.gov/,hirono
Hoeven, John,R,ND,http://www.hoeven.senate.gov/,hoeven
Inhofe, James M.,R,OK,http://www.inhofe.senate.gov/,inhofe
Isakson, Johnny,R,GA,http://www.isakson.senate.gov/,isakson
Johnson, Ron,R,WI,http://www.ronjohnson.senate.gov/,ronjohnson
Kaine, Tim,D,VA,http://www.kaine.senate.gov/,kaine
King, Angus S.,I,ME,http://www.king.senate.gov/,king
Kirk, Mark,R,IL,http://www.kirk.senate.gov/,kirk
