topic,stems,docs,label,notes
1,"unemploy, benefit, insur, million, extend, economi, help, emerg, program, month","942reid, 250roberts, 1564king, 1188shaheen, 641warner, 455ronjohnson, 1535grassley, 3230brown, 929reid, 551cantwell",Social Welfare,"Incl. benefits programs, pro-PPACA statements"
2,"land, flood, park, insur, forest, protect, act, area, manag, includ","731donnelly, 1090hoeven, 732vitter, 971mccaskill, 1247portman, 1248portman, 1006carper, 391warren, 421boozman, 877reed",Flood Insurance/Nat'l Parks,"Incl. ""protecting homeowners"" or jobs"
3,"bank, financ, institut, taxpay, system, import, export, market, busi, protect","971warner, 609feinstein, 1446vitter, 396toomey, 1075vitter, 1515durbin, 1184warner, 810warner, 768coats, 1576rubio",Banking/Finance,"Incl. bailout, Volker rule, court noms mixed in b/c DOJ and calls for criminal suits"
4,"busi, small, help, economi, econom, support, program, act, export, compani","375whitehouse, 495boozman, 394heller, 507isakson, 781murkowski, 1673schumer, 1082shaheen, 2650brown, 474coons, 786klobuchar",Small Business,Incl. economic development
5,"airport, faa, fund, aviat, air, administr, improv, transport, tower, region","1509leahy, 814cardin, 461hatch, 917heinrich, 251lee, 895carper, 1121leahy, 727mccaskill, 598thune, 2956brown",Air Travel,"Incl. grants and ""Airport Improvement Program"""
6,"trade, iran, nuclear, import, steel, agreement, countri, market, negoti, industri","768cardin, 659reed, 1598rubio, 1596grassley, 464toomey, 332crapo, 1071bennet, 624franken, 293lgraham, 647franken",Trade,Very broad coverage based on sampled docs
7,"project, fund, develop, transport, infrastructur, invest, econom, help, million, support","822cardin, 832ayotte, 576cruz, 644stabenow, 735murkowski, 1287leahy, 1250leahy, 835gillibrand, 530schatz, 556coons",Infrastructure,Incl. environmental issues related to Keystone XL and Superfund sites
8,"health, care, mental, act, provid, help, access, need, fund, prevent","1830schumer, 384barrasso, 1188durbin, 273hirono, 905bennet, 1462grassley, 728reed, 1101carper, 601alexander, 813blumenthal",Health Care 1,Incl. mental health and Ebola
9,"counti, meet, street, staff, town, local, question, hour, help, citi","591moran, 519hirono, 339sessions, 1672heitkamp, 1793schumer, 1209leahy, 568klobuchar, 761tester, 1103rubio, 1730grassley",Localistic,"Incl. local grants, programs supporting local jobs, and constituency services/meetings"
10,"oil, pipelin, project, approv, permit, develop, administr, environ, need, secur","1272blumenthal, 740vitter, 586donnelly, 330hirono, 967kirk, 532murray, 1433durbin, 1622hoeven, 413merkley, 1550gillibrand",Energy,"Incl. oil pipelines (Keystone XL, Midla), energy security, and environment"
11,"children, famili, child, program, support, help, adopt, care, provid, need","793murkowski, 471hirono, 803tomudall, 1847grassley, 872tomudall, 1291menendez, 1743heitkamp, 792cornyn, 3069brown, 878warner",Children,"Incl. SNAP, pre-K, school repair, health care"
12,"drug, prescript, abus, law, health, help, addict, fda, program, act","988mccaskill, 658vitter, 1225menendez, 808bennet, 1365blumenthal, 223crapo, 1209hoeven, 1650grassley, 916blumenthal, 777mccaskill",Drugs,"Incl. pricing, addiction, consumer protection"
13,"letter, postal, plan, secretari, provid, administr, also, continu, need, time","387moran, 560isakson, 1008kaine, 956mcconnell, 1481grassley, 1639grassley, 617mikulski, 1799vitter, 1721heitkamp, 1002vitter",Letters,Incl. mostly letters to the President or other exec. Officials
14,"secur, social, homeland, need, also, protect, program, administr, act, includ","1416portman, 368corker, 1481portman, 1427king, 1633menendez, 919vitter, 863mccain, 1080vitter, 761reed, 855coons",Social/Homeland Security,"Incl. retirment benefits (e.g., pensions) and the sequester"
15,"employ, worker, wage, act, pay, minimum, fair, famili, time, discrimin","800tomudall, 744casey, 433ronjohnson, 883blumenthal, 520cochran, 751mikulski, 1584hoeven, 1561grassley, 588boozman, 1136durbin",Jobs 1,"Incl. government shutdown, employment regs"
16,"school, student, educ, high, program, academi, children, help, teacher, fund","324lee, 546baldwin, 529casey, 609vitter, 313cantwell, 909cardin, 1264tester, 1346ayotte, 669mcconnell, 728feinstein",Education,Incl. primary and secondary ed
17,"fund, program, million, provid, support, help, includ, grant, develop, thi","734coats, 2870brown, 1424gillibrand, 2061brown, 2968brown, 873mccaskill, 525wyden, 416barrasso, 1984vitter, 468hirono",Program/Grant Funding,Incl. primarily large grants
18,"report, gener, investig, administr, agenc, intellig, law, letter, act, provid","886mcconnell, 1608heitkamp, 2045grassley, 507sessions, 1871grassley, 792feinstein, 1543heitkamp, 860menendez, 1131leahy, 1093cardin",Investigations,Incl. honorific statements too
19,"budget, debt, cut, need, tax, fiscal, economi, deficit, time, plan","725feinstein, 502whitehouse, 1066king, 1366portman, 443klobuchar, 1675rubio, 347barrasso, 1309vitter, 915casey, 857mccain",Budget,"Incl. debt ceiling, balance budget"
20,"climat, chang, power, rule, propo, administr, emiss, cost, plant, pollut","1100tester, 791markey, 462toomey, 1473king, 1316markey, 366schatz, 3415brown, 442barrasso, 502corker, 313barrasso",Climate Change,"Incl. regulations, energy production"
21,"one, famili, countri, time, help, mani, need, live, also, know","2517brown, 611toomey, 904bennet, 584mcconnell, 1354gillibrand, 1718heitkamp, 570franken, 2761brown, 468barrasso, 477inhofe",Symbolic,Incl. remembrance and honorific
22,"water, lake, act, river, protect, corp, fund, project, thi, help","1225king, 1542portman, 934kaine, 1517grassley, 1426portman, 1227gillibrand, 639feinstein, 628shaheen, 306lee, 587ronjohnson",Water,"Incl. western droughts, rights and protections, int'l support for clean water"
