iteration time doc.count score word.count unseen.score unseen.word.count
1 7 2052 -36506818185.66624 4098564235 -36506818185.66624 4098564235
2 14 4104 -24672972364.56640 4642043117 -24672972364.56640 4642043117
3 21 6156 -21826802773.84635 4169785063 -21826802773.84635 4169785063
4 28 8208 -19762879717.42075 3779972286 -19762879717.42075 3779972286
5 34 10260 -22677754810.46932 4304925214 -22677754810.46932 4304925214
6 42 12312 -23821622011.39356 4571960655 -23821622011.39356 4571960655
7 50 14364 -27762916591.43115 5208215074 -27762916591.43115 5208215074
8 56 16416 -21346468342.39969 4097468899 -21346468342.39969 4097468899
9 63 18468 -20323036800.10602 3901156816 -20323036800.10602 3901156816
10 71 20520 -20883210547.33355 4031206676 -20883210547.33355 4031206676
11 78 22572 -23659877643.70493 4559276423 -23659877643.70493 4559276423
12 85 24624 -21452074909.67155 4067749212 -21452074909.67155 4067749212
13 93 26676 -23207704960.80277 4510540126 -23207704960.80277 4510540126
14 101 28728 -22605172553.90612 4409715992 -22605172553.90612 4409715992
15 107 30780 -22912724319.96092 4446201849 -22912724319.96092 4446201849
16 113 32832 -18464334673.99178 3576757548 -18464334673.99178 3576757548
17 123 34884 -25530841534.39589 4843781449 -25530841534.39589 4843781449
18 129 36760 -16303116368.18181 3147292580 -16303116368.18181 3147292580
